Representor;homogeneity;completeness;v-measure;perfect k;empty centroids
Type Specific;0,68;0,91;0,77;11;0
\quad Dist Zero;0,56;0;0;13;6
\quad \quad Weight Summary;0,45;0;0;15;8
\quad \quad Weight Sum First;0,12;0;0;20;10
\quad \quad Weight Inverse;0,65;0,65;0,62;11;6
\quad Dist All;0,36;0;0;14;9
\quad \quad Weight Summary;0,6;0;0;13;8
\quad \quad Weight Sum First;0,1;0;0;20;9
\quad \quad Weight Inverse;0,87;0;0;11;9
\quad Weight Summary;0,62;0,95;0,75;14;0
\quad Weight Sum First;0,27;0;0;15;9
\quad Weight Inverse;0,47;0,73;0,58;20;6
